route_id,route_short_name,route_long_name,route_type_desc
545,29,Swargate to Alandi (DOWN),Bus
546,2A,Shivaji Nagar to Katraj (UP),Bus
547,2A,Katraj to Shivaji Nagar (DOWN),Bus
551,2,Shivaji Nagar to Swargate (UP),Bus
552,2,Swargate to Shivaji Nagar (DOWN),Bus
553,301A,Bhekrai Nagar to Katraj (UP),Bus
554,301A,Katraj to Bhekrai Nagar (DOWN),Bus
557,301,Shewalewadi Depot to Katraj (UP),Bus
560,301,Katraj to Shewalewadi Depot (DOWN),Bus
561,302A,Alandi to Pimprigaon (UP),Bus
562,302A,Pimprigaon to Alandi (DOWN),Bus
565,302,Bhosari Gavhane Vasti to Pimprigaon (UP),Bus
566,302,Pimprigaon to Bhosari Gavhane Vasti (DOWN),Bus
567,303A,Gahunjegaon to Nigdi Pawale Chowk (UP),Bus
568,303A,Nigdi Pawale Chowk to Gahunjegaon (DOWN),Bus
569,303,Akurdi Railway Station to Nigdi Pawale Chowk (UP),Bus
570,303,Nigdi Pawale Chowk to Akurdi Railway Station (DOWN),Bus
571,304,Bhosari Gavhane Vasti to Chinchwadgaon (UP),Bus
572,304,Chinchwadgaon to Bhosari Gavhane Vasti (DOWN),Bus
573,305A,Greenbase Industrial Park Navlakh Umbre to Nigdi Pawale Chowk (UP),Bus
574,305A,Nigdi Pawale Chowk to Greenbase Industrial Park Navlakh Umbre (DOWN),Bus
575,305B,Mindewadi Navlakh Umbre to Nigdi Pawale Chowk (UP),Bus
576,305B,Nigdi Pawale Chowk to Mindewadi Navlakh Umbre (DOWN),Bus
577,305,Vadgaon Mawal to Nigdi Pawale Chowk (UP),Bus
578,305,Nigdi Pawale Chowk to Vadgaon Mawal (DOWN),Bus
579,306A,Hinjewadi Hills Dattawadi to Dange Chowk (UP),Bus
580,306A,Dange Chowk to Hinjewadi Hills Dattawadi (DOWN),Bus
581,306,Megapolis Phase 3 to Dange Chowk (UP),Bus
582,306,Dange Chowk to Megapolis Phase 3 (DOWN),Bus
583,307,ISKCON Mandir in Shindewasti Ravet to Chinchwadgaon (UP),Bus
584,307,Chinchwadgaon to ISKCON Mandir in Shindewasti Ravet (DOWN),Bus
585,308,Gharkul Vasahat Chikhali to Nigdi Pawale Chowk (UP),Bus
586,308,Nigdi Pawale Chowk to Gharkul Vasahat Chikhali (DOWN),Bus
587,309,Sant Tukaram Maharaj Krida Sankul Dehugaon to Alandi (UP),Bus
588,309,Alandi to Sant Tukaram Maharaj Krida Sankul Dehugaon (DOWN),Bus
589,30,Ghotawade Phata to Marketyard Depot (UP),Bus
590,30,Marketyard Depot to Ghotawade Phata (DOWN),Bus
597,312,Chinchwadgaon to Pune Station Depot (UP),Bus
598,312,Pune Station Depot to Chinchwadgaon (DOWN),Bus
603,313,Chandkhed to Chinchwadgaon (UP),Bus
604,313,Chinchwadgaon to Chandkhed (DOWN),Bus
605,314,Chakan Ambethan Chowk to Nigdi Pawale Chowk (UP),Bus
606,314,Nigdi to Chakan Ambethan Chowk (DOWN),Bus
607,315,Bhosari Pmt Chowk to Pune Station Sassoon Road (UP),Bus
608,315,Pune Station Sassoon Road to Bhosari Pmt Chowk (DOWN),Bus
609,316,Katar Khadak to Chinchwadgaon (UP),Bus
610,316,Chinchwadgaon to Katar Khadak (DOWN),Bus
613,317,Sambhaji Nagar to Pune Station Depot (UP),Bus
614,317,Pune Station Depot to Sambhaji Nagar (DOWN),Bus
623,320,Hinjawadi Maan Phase 3 to Chinchwadgaon (UP),Bus
624,320,Chinchwadgaon to Hinjawadi Maan Phase 3 (DOWN),Bus
627,322A,Akurdi Railway Station to Ma Na Pa Main Gate (UP),Bus
628,322A,Ma Na Pa Main Gate to Akurdi Railway Station (DOWN),Bus
629,322,Akurdi Railway Station to Ma Na Pa Main Gate (UP),Bus
630,322,Ma Na Pa Main Gate to Akurdi Railway Station (DOWN),Bus
631,323A,Gharkul Vasahat Chikhali to Ma Na Pa Main Stand (UP),Bus
