stop_id,stop_name,stop_lat,stop_lon
108,Ma Na Pa Dengle Pul Nadikathi,18.5236219969565,73.8550657020796
351,Ma Na Pa Main Gate,18.523001,73.854202
557,Ma Na Pa Daphale Garage,18.5233001393522,73.8529796543343
492,Pune Vidhyapeeth Gate Baner Road,18.5423912161645,73.8265318177443
493,Chavan Nagar Baner Road,18.5453,73.822403
494,Sakal Nagar Baner Road,18.5463658349643,73.8193266027021
495,Abhiman Shree Baner Road,18.5471999877591,73.8166278686819
496,Sindh Colony Baner Road,18.5482272369171,73.8140052585136
529,Bajirao Padale Chowk Mhalunge,18.5651,73.735703
497,National Society Baner Road,18.5494,73.811096
530,River Hills Society,18.565701,73.737396
1084,Baner Phata,18.5501,73.8088
531,Waghjainagar Mhalunge,18.5662467486294,73.7398582588645
558,Someshwarwadi Phata,18.5509201987591,73.8050991575653
532,Green Hill Colony,18.5681,73.744797
559,Green Park,18.552,73.803802
533,Hotel Vithai,18.5683936664129,73.7477177672266
560,Trimurti Bungalow,18.5546,73.800797
534,Sutar Vasti,18.568501,73.750801
561,Mahabaleshwar Hotel,18.5548660574946,73.7987271031655
535,Kolekar Nagar,18.572701,73.754097
562,Ambedkar Nagar Baner,18.555099,73.7957
536,Shahid Sopan Padalenagar,18.5735557050189,73.7549361693203
563,Kundan Garden,18.5562,73.794502
537,Mhalungegaon,18.5743889753257,73.7555337339222
564,Kapil Malhar Society,18.559,73.790901
538,Surymukhi Ganesh Mandir,18.5734201239195,73.7568747937406
565,Banergaon,18.559799,73.789001
539,Shitala Devi Nagar,18.5723847749513,73.7586158568158
566,Banergaon Odha,18.561501,73.7855
540,Mhalunge Stadium Gate,18.5712524614909,73.7607422297156
567,Balewadi Phata,18.5637483012441,73.7823817455377
541,Mhalunge Corner,18.5696755568796,73.7646890204982
568,Prabhavi Tech Park,18.5641331492557,73.7793028369407
84,Sadanand Hotel,18.568501,73.767097
569,Kalamkar Vasti,18.564301,73.7761
542,D Mart Balewadi,18.5668806237351,73.7691599907397
570,Rajyoag Society,18.565201,73.7733
543,Rajyoag Society,18.5652991184222,73.7732958897747
